release_id,metric_name,date,value
checkout-redesign,conversion-rate,2026-06-10,3.9
checkout-redesign,conversion-rate,2026-06-16,4.1
checkout-redesign,conversion-rate,2026-06-18,4.4
checkout-redesign,conversion-rate,2026-06-20,4.3
checkout-redesign,conversion-rate,2026-06-23,4.5
checkout-redesign,conversion-rate,2026-06-26,4.2
checkout-redesign,conversion-rate,2026-06-28,4.4
checkout-redesign,checkout-time-sec,2026-06-16,92
checkout-redesign,checkout-time-sec,2026-06-18,88
checkout-redesign,checkout-time-sec,2026-06-20,94
checkout-redesign,checkout-time-sec,2026-06-23,90
checkout-redesign,checkout-time-sec,2026-06-26,91
checkout-redesign,checkout-time-sec,2026-06-28,89
checkout-redesign,cart-abandonment-pct,2026-06-16,64
checkout-redesign,cart-abandonment-pct,2026-06-18,63.5
checkout-redesign,cart-abandonment-pct,2026-06-20,65
checkout-redesign,cart-abandonment-pct,2026-06-23,64.2
checkout-redesign,cart-abandonment-pct,2026-06-26,63.8
checkout-redesign,cart-abandonment-pct,2026-06-28,64.5
pricing-experiment,annual-plan-share-pct,2026-07-15,29
pricing-experiment,annual-plan-share-pct,2026-07-22,36
pricing-experiment,annual-plan-share-pct,2026-07-25,37
pricing-experiment,annual-plan-share-pct,2026-07-28,35.5
pricing-experiment,annual-plan-share-pct,2026-08-01,38
pricing-experiment,annual-plan-share-pct,2026-08-05,36.5
pricing-experiment,annual-plan-share-pct,2026-08-08,37.2
pricing-experiment,trial-start-rate-pct,2026-07-22,7.2
pricing-experiment,trial-start-rate-pct,2026-07-25,7.5
pricing-experiment,trial-start-rate-pct,2026-07-28,7.1
pricing-experiment,trial-start-rate-pct,2026-08-01,7.4
pricing-experiment,trial-start-rate-pct,2026-08-05,7.3
pricing-experiment,trial-start-rate-pct,2026-08-08,7.6
onboarding-flow,day7-retention-pct,2026-08-05,24.5
onboarding-flow,day7-retention-pct,2026-08-15,22
onboarding-flow,day7-retention-pct,2026-08-20,23
onboarding-flow,day7-retention-pct,2026-08-25,21.5
onboarding-flow,day7-retention-pct,2026-08-30,22.8
onboarding-flow,day7-retention-pct,2026-09-03,23.2
onboarding-flow,day7-retention-pct,2026-09-06,22.4
onboarding-flow,onboarding-completion-pct,2026-08-12,68
onboarding-flow,onboarding-completion-pct,2026-08-14,70
onboarding-flow,onboarding-completion-pct,2026-08-16,69
onboarding-flow,onboarding-completion-pct,2026-08-18,71
onboarding-flow,onboarding-completion-pct,2026-08-21,68.5
onboarding-flow,onboarding-completion-pct,2026-08-23,69.5
onboarding-flow,support-tickets-per-1k,2026-08-12,10.5
onboarding-flow,support-tickets-per-1k,2026-08-14,11
onboarding-flow,support-tickets-per-1k,2026-08-16,10.8
onboarding-flow,support-tickets-per-1k,2026-08-18,11.2
onboarding-flow,support-tickets-per-1k,2026-08-21,10.6
onboarding-flow,support-tickets-per-1k,2026-08-23,10.9
